tokens;labels
# New sentence = R.H. Saunders ( St. Lawrence River ) ( 968 MW );
R.H.;5
Saunders;6
(;0
St.;5
Lawrence;6
River;6
);0
(;0
968;0
MW;0
);0
# New sentence = 102.7 MHz Triple J' ABC;
102.07.00;0
MHz;0
Triple;3
J;4
 ;
ABC;3
# New sentence = Civic Freedom Party;
Civic;3
Freedom;4
Party;4
# New sentence = Gian Girolamo Albani;
Gian;1
Girolamo;2
Albani;2
# New sentence = North Fanling New Town ( Extension of Fanling-Sheung Shui New Town );
North;5
Fanling;6
New;6
Town;6
(;0
Extension;0
of;0
Fanling-Sheung;5
Shui;6
New;6
Town;6
);0
# New sentence = List of Flywheel , Shyster , and Flywheel ( 1990 radio series ) episodes;
List;0
of;0
Flywheel;0
,;0
Shyster;0
,;0
and;0
Flywheel;0
(;0
1990;0
radio;0
series;0
);0
episodes;0
# New sentence = Robert Maxwell , 5th Lord Maxwell ( 1493-1546 );
Robert;1
Maxwell;2
,;2
5th;2
Lord;2
Maxwell;2
(;0
1493–1546;0
);0
# New sentence = '' Invisible Touch '' – Genesis;
'';0
Invisible;0
Touch;0
'';0
-;0
Genesis;0
# New sentence = It was created on 28 January 1831 for Standish O'Grady , Attorney-General for Ireland and Lord Chief Baron of the Exchequer for Ireland .;
It;0
was;0
created;0
on;0
28;0
January;0
1831;0
for;0
Standish;1
O'Grady;2
,;0
Attorney-General;0
for;0
Ireland;3
and;0
Lord;0
Chief;0
Baron;0
of;0
the;0
Exchequer;0
for;0
Ireland;3
.;0
# New sentence = '' Super World of Sports '' ';
'';0
Super;0
World;0
of;0
Sports;0
'';0
';0
# New sentence = List of years in Brazil;
List;0
of;0
years;0
in;0
Brazil;5
# New sentence = Lapugiu de Jos;
Lapugiu;5
de;6
Jos;6
# New sentence = Christmas Island , on 8 November 1957 , 28 April , 22 August , 2 September , 11 September , or 23 September 1958;
Christmas;5
Island;6
,;0
on;0
8;0
November;0
1957;0
,;0
28;0
April;0
,;0
22;0
August;0
,;0
2;0
September;0
,;0
11;0
September;0
,;0
or;0
23;0
September;0
1958;0
# New sentence = Poland in the Eurovision Song Contest;
Poland;3
in;0
the;0
Eurovision;3
Song;4
Contest;4
# New sentence = Borg El Arab Stadium , Alexandria , Egypt;
Borg;5
El;6
Arab;6
Stadium;6
,;0
Alexandria;5
,;0
Egypt;5
# New sentence = It is on the Campaign for Real Ale 's National Inventory of Historic Pub Interiors .;
It;0
is;0
on;0
the;0
Campaign;0
for;0
Real;3
Ale;4
's;0
National;0
Inventory;0
of;0
Historic;0
Pub;0
Interiors;0
.;0
# New sentence = Miranda Martino as the Singer;
Miranda;1
Martino;2
as;0
the;0
Singer;0
# New sentence = '' Tsardom of Russia ''  - Feodor III ( 1676-1682 );
'';0
Tsardom;0
of;0
Russia;0
'';0
';0
–;0
Feodor;1
III;2
(;0
1676–1682;0
);0
# New sentence = Lawrence of Rome;
Lawrence;1
of;2
Rome;2
# New sentence = K. S. Rangasamy College of Technology;
K.;3
S.;4
Rangasamy;4
College;4
of;4
Technology;4
# New sentence = He was born in Clipston , Northamptonshire and died at Isleworth , Middlesex .;
He;0
was;0
born;0
in;0
Clipston;5
,;0
Northamptonshire;5
and;0
died;0
at;0
Isleworth;5
,;0
Middlesex;5
.;0
# New sentence = Central , Tennessee ( CDP );
Central;5
,;0
