tokens;labels
# New sentence = `` Love Me Again '' was released as the lead single from the album on 17 May 2013 .;0
``;0
Love;0
Me;0
Again;0
'';0
was;0
released;0
as;0
the;0
lead;0
single;0
from;0
the;0
album;0
on;0
17;0
May;0
2013;0
.;0
# New sentence = Denver and Rio Grande Railway;0
Denver;3
and;4
Rio;4
Grande;4
Railway;4
# New sentence = In 1636 , the Minors moved to Hingham .;0
In;0
1636;0
,;0
the;0
Minors;1
moved;0
to;0
Hingham;5
.;0
# New sentence = ' '' Arslanmyrat Amanow '' ';0
';0
'';0
Arslanmyrat;1
Amanow;2
'';0
';0
# New sentence = Nowjeh Deh-e Sheykhlar;0
Nowjeh;5
Deh-e;6
Sheykhlar;6
# New sentence = Admaston / Bromley;0
Admaston;5
/;0
Bromley;5
# New sentence = List of canal aqueducts in Great Britain;0
List;0
of;0
canal;0
aqueducts;0
in;0
Great;5
Britain;6
# New sentence = John Ure ( 1979–1981 );0
John;1
Ure;2
(;0
1979–1981;0
);0
# New sentence = ( Orioles ) .;0
(;0
Orioles;3
);0
.;0
# New sentence = Société des Autoroutes de Paris Normandie;0
Société;3
des;4
Autoroutes;4
de;4
Paris;4
Normandie;4
# New sentence = List of football clubs in Serbia;0
List;0
of;0
football;0
clubs;0
in;0
Serbia;5
# New sentence = Romanian National Championship III :;0
Romanian;3
National;4
Championship;4
III;4
:;0
# New sentence = She was a member of the United States National Research Council and of the American Geophysical Union .;0
She;0
was;0
a;0
member;0
of;0
the;0
United;5
States;6
National;3
Research;4
Council;4
and;0
of;0
the;0
American;3
Geophysical;4
Union;4
.;0
# New sentence = Prince Ōtsu ( 大津皇子 ) ( 663–686 );0
Prince;1
Ōtsu;2
(;0
大津皇子;0
);0
(;0
663–686;0
);0
# New sentence = Cliff Townshend ( 1917–1986 );0
Cliff;1
Townshend;2
(;0
1917–1986;0
);0
# New sentence = *Arkansas : Ashley , Chicot , and Drew;0
*Arkansas;5
:;0
Ashley;5
,;0
Chicot;5
,;0
and;0
Drew;5
# New sentence = Administrative divisions of Saint Petersburg;0
Administrative;0
divisions;0
of;0
Saint;5
Petersburg;6
# New sentence = Thomas J. Robertson ( R-SC );0
Thomas;1
J.;2
Robertson;2
(;0
R-SC;0
);0
# New sentence = Estadio Luis `` Pirata '' Fuente;0
Estadio;5
Luis;6
``;0
Pirata;5
'';0
Fuente;5
# New sentence = Francesco Foggia ( 1603–1688 );0
Francesco;1
Foggia;2
(;0
1603–1688;0
);0
# New sentence = This species is very similar to Laurus novocanariensis '' .;0
This;0
species;0
is;0
very;0
similar;0
to;0
Laurus;0
novocanariensis;0
'';0
.;0
# New sentence = Laona Junction , Wisconsin;0
Laona;5
Junction;6
,;0
Wisconsin;5
# New sentence = Studholme College , Otago University;0
Studholme;3
College;4
,;0
Otago;3
University;4
# New sentence = ' '' Manuela Maleeva '' '5–7 , 6–2 , 6–3;0
';0
'';0
Manuela;1
Maleeva;2
'';0
'5–7;0
,;0
6–2;0
,;0
6–3;0
"# New sentence = ; ''Matches were played in Stara Zagora and Nova Zagora ''";0
";";0
''Matches;0
were;0
played;0
in;0
Stara;5
Zagora;6
and;0
Nova;5
Zagora;6
'';0
# New sentence = '' Apamea scolopacina '' ( Esper , 1788 );0
'';0
Apamea;0
scolopacina;0
'';0
(;0
Esper;1
,;0
1788;0
);0
# New sentence = Luke the Evangelist;0
Luke;1
the;2
Evangelist;2
# New sentence = Grand Duke Michael Alexandrovich of Russia;0
Grand;0
Duke;0
Michael;1
Alexandrovich;2
of;0
Russia;5
# New sentence = '' Apotomis sauciana '' ( Frolich , 1828 );0
'';0
Apotomis;0
sauciana;0
'';0
(;0
Frolich;1
,;0
1828;0
);0
# New sentence = Sorkhakan , Kerman;0
Sorkhakan;5
,;0
Kerman;5
# New sentence = It debuted at number 105 on the ''Billboard '' 200 , selling nine thousand copies in its first week .;0
It;0
debuted;0
at;0
number;0
105;0
on;0
the;0
''Billboard;0
'';0
200;0
,;0
selling;0
nine;0
thousand;0
copies;0
in;0
its;0
first;0
week;0
.;0
# New sentence = Newbury]] ( 70,000 ) , Hungerford ( 6,000 ) , Kingsclere ( 3,000 );0
Newbury]];5
(;0
70;0
);0
,;0
Hungerford;5
(;0
6;0
);0
,;0
Kingsclere;5
(;0
3;0
);0
# New sentence = *1984 - Bill Gates and George Streisinger;0
*1984;0
-;0
Bill;1
Gates;2
and;0
George;1
Streisinger;2
# New sentence = Nikola Milev ( 1881–1925 );0
Nikola;1
Milev;2
(;0
1881–1925;0
);0
# New sentence = Guillermo Gonzalez ( soccer );0
Guillermo;1
Gonzalez;2
(;0
soccer;0
);0
# New sentence = He has been capped by Cyprus U-21s .;0
He;0
has;0
been;0
capped;0
by;0
Cyprus;3
U-21s;4
.;0
# New sentence = Constantin von Liechtenstein;0
Constantin;1
von;2
Liechtenstein;2
# New sentence = St. Paul Academy and Summit School;0
St.;3
Paul;4
Academy;4
and;4
Summit;4
School;4
# New sentence = The residence is located at Gogolova 212 / 1 , Hradčany , Czech Republic .;0
The;0
residence;0
is;0
located;0
at;0
Gogolova;5
212;6
/;6
1;6
,;6
Hradčany;6
,;6
Czech;6
Republic;6
.;0
# New sentence = '' House of Style '';0
'';0
House;0
of;0
Style;0
'';0
# New sentence = ' '' Maverick Viñales '' ';0
';0
'';0
Maverick;1
Viñales;2
'';0
';0
# New sentence = Adolph Lowe ( 1893–1995 );0
Adolph;1
Lowe;2
(;0
1893–1995;0
);0
# New sentence = In 1957 , he was appointed director of the New Shakespeare Theatre , in Liverpool .;0
In;0
1957;0
,;0
he;0
was;0
appointed;0
director;0
of;0
