tokens	labels1	labels2
# New sentence = R.H. Saunders ( St. Lawrence River ) ( 968 MW )	0	
R.H.	5	5
Saunders	6	6
(	0	0
St.	5	5
Lawrence	6	6
River	6	6
)	0	0
(	0	0
968	0	0
MW	0	0
)	0	0
# New sentence = 102.7 MHz Triple J – ABC	0	
4,254861111	0	0
MHz	0	0
Triple	0	3
J	0	4
–	0	0
ABC	0	3
# New sentence = Civic Freedom Party	0	
Civic	3	3
Freedom	4	4
Party	4	4
# New sentence = Gian Girolamo Albani	0	
Gian	1	1
Girolamo	2	2
Albani	2	2
# New sentence = North Fanling New Town ( Extension of Fanling-Sheung Shui New Town )	0	
North	5	5
Fanling	6	6
New	6	6
Town	6	6
(	0	0
Extension	0	0
of	0	0
Fanling-Sheung	0	5
Shui	0	6
New	0	6
Town	0	6
)	0	0
# New sentence = List of Flywheel , Shyster , and Flywheel ( 1990 radio series ) episodes	0	
List	0	0
of	0	0
Flywheel	0	0
,	0	0
Shyster	0	0
,	0	0
and	0	0
Flywheel	0	0
(	0	0
1990	0	0
radio	0	0
series	0	0
)	0	0
episodes	0	0
# New sentence = Robert Maxwell , 5th Lord Maxwell ( 1493–1546 )	0	
Robert	1	1
Maxwell	2	2
,	0	2
5th	2	2
Lord	2	2
Maxwell	2	2
(	0	0
1493–1546	0	0
)	0	0
# New sentence = '' Invisible Touch '' – Genesis	0	
''	0	0
Invisible	0	0
Touch	0	0
''	0	0
–	0	0
Genesis	3	3
# New sentence = It was created on 28 January 1831 for Standish O'Grady , Attorney-General for Ireland and Lord Chief Baron of the Exchequer for Ireland .	0	
It	0	0
was	0	0
created	0	0
on	0	0
28	0	0
January	0	0
1831	0	0
for	0	0
Standish	1	1
O'Grady	2	2
,	0	0
Attorney-General	0	0
for	0	0
Ireland	5	3
and	0	0
Lord	0	0
Chief	0	0
Baron	0	0
of	0	0
the	0	0
Exchequer	0	0
for	0	0
Ireland	5	3
.	0	0
# New sentence = '' Super World of Sports '' '	0	
''	0	0
Super	0	0
World	0	0
of	0	0
Sports	0	0
''	0	0
'	0	0
# New sentence = List of years in Brazil	0	
List	0	0
of	0	0
years	0	0
in	0	0
Brazil	5	5
# New sentence = L?pugiu de Jos	0	
L?pugiu	0	5
de	0	6
Jos	0	6
# New sentence = Christmas Island , on 8 November 1957 , 28 April , 22 August , 2 September , 11 September , or 23 September 1958	0	
Christmas	5	5
Island	6	6
,	0	0
on	0	0
8	0	0
November	0	0
1957	0	0
,	0	0
28	0	0
April	0	0
,	0	0
22	0	0
August	0	0
,	0	0
2	0	0
September	0	0
,	0	0
11	0	0
September	0	0
,	0	0
or	0	0
23	0	0
September	0	0
1958	0	0
# New sentence = Poland in the Eurovision Song Contest	0	
Poland	3	3
in	0	0
the	0	0
Eurovision	0	3
Song	0	4
Contest	0	4
# New sentence = Borg El Arab Stadium , Alexandria , Egypt	0	
Borg	5	5
El	6	6
Arab	6	6
Stadium	6	6
,	0	0
Alexandria	6	5
,	0	0
Egypt	6	5
# New sentence = It is on the Campaign for Real Ale 's National Inventory of Historic Pub Interiors .	0	
It	0	0
is	0	0
on	0	0
the	0	0
Campaign	0	0
for	0	0
Real	3	3
Ale	4	4
's	4	0
National	0	0
Inventory	0	0
of	0	0
Historic	0	0
Pub	0	0
Interiors	0	0
.	0	0
# New sentence = Miranda Martino as the Singer	0	
Miranda	1	1
Martino	2	2
as	0	0
the	0	0
Singer	0	0
# New sentence = '' Tsardom of Russia '' ' – Feodor III ( 1676–1682 )	0	
''	0	0
Tsardom	5	5
of	6	6
Russia	6	6
''	0	0
'	0	0
–	0	0
Feodor	0	1
III	0	2
(	0	0
1676–1682	0	0
)	0	0
# New sentence = Lawrence of Rome	0	
Lawrence	1	1
of	0	2
Rome	0	2
# New sentence = K. S. Rangasamy College of Technology	0	
K.	3	5
S.	4	6
Rangasamy	4	6
College	4	6
of	4	6
Technology	4	6
# New sentence = He was born in Clipston , Northamptonshire and died at Isleworth , Middlesex .	0	
He	0	0
was	0	0
born	0	0
in	0	0
Clipston	5	5
,	0	0
Northamptonshire	6	5
and	0	0
died	0	0
at	0	0
Isleworth	5	5
,	0	0
Middlesex	6	5
.	0	0
# New sentence = Central , Tennessee ( CDP )	0	
Central	5	5
,	0	0
Tennessee	6	5
(	0	0
CDP	0	0
)	0	0
# New sentence = ''Hypnotize '' opened at 1 on the ''Billboard '' 200 with 320,000 copies the first week .	0	
''Hypnotize	0	0
''	0	0
opened	0	0
at	0	0
1	0	0
on	0	0
the	0	0
''Billboard	0	0
''	0	0
200	0	0
with	0	0
320	0	0
copies	0	0
the	0	0
first	0	0
week	0	0
.	0	0
# New sentence = List of national libraries	0	
List	0	0
of	0	0
national	0	0
libraries	0	0
# New sentence = William Morrow and Company	0	
William	3	3
Morrow	4	4
and	4	4
Company	4	4
# New sentence = Edwin S. Johnson ( D )	0	
Edwin	1	1
S.	2	2
Johnson	2	2
(	0	0
D	0	3
)	0	0
# New sentence = Bahawalpur Zoo , Bahawalpur , Punjab	0	
Bahawalpur	5	3
Zoo	6	4
,	0	0
Bahawalpur	6	5
,	0	0
Punjab	6	5
# New sentence = 1944 Presentation Brothers College	0	
1944	0	0
Presentation	5	3
Brothers	6	4
College	6	4
# New sentence = In 1976 he joined his brother at Leicester Lions where he spent two seasons .	0	
In	0	0
1976	0	0
he	0	0
joined	0	0
his	0	0
brother	0	0
at	0	0
Leicester	3	3
Lions	4	4
where	0	0
he	0	0
spent	0	0
two	0	0
seasons	0	0
.	0	0
# New sentence = Chip Robinson ( 1986 )	0	
Chip	1	1
Robinson	2	2
(	0	0
1986	0	0
)	0	0
# New sentence = Beecher , Michigan – $ 13,484	0	
Beecher	5	5
,	0	0
Michigan	6	5
–	0	0
$	0	0
13,484	0	0
# New sentence = Mark Bonham Carter , Baron Bonham-Carter	0	
Mark	1	1
Bonham	2	2
Carter	2	2
,	0	0
Baron	2	1
Bonham-Carter	2	2
# New sentence = `` O Come All Ye Faithful ''	0	
``	0	0
O	0	0
Come	0	0
All	0	0
Ye	0	0
Faithful	0	0
''	0	0
# New sentence = Myrtle Beach , United States	0	
Myrtle	5	5
Beach	6	6
,	0	0
United	6	5
States	6	6
# New sentence = This Hour Has 22 Minutes '' cast	0	
This	0	0
Hour	0	0
Has	0	0
22	0	0
Minutes	0	0
''	0	0
cast	0	0
# New sentence = Hanningfield Reservoir completed in 1957	0	
Hanningfield	5	5
Reservoir	6	6
completed	0	0
in	0	0
1957	0	0
# New sentence = All three goals of the match were scored by Xherdan Shaqiri .	0	
All	0	0
three	0	0
goals	0	0
of	0	0
the	0	0
match	0	0
were	0	0
scored	0	0
by	0	0
Xherdan	1	1
Shaqiri	2	2
.	0	0
# New sentence = Head of government : Prime Minister of Andorra	0	
Head	0	0
of	0	0
government	0	0
:	0	0
Prime	0	0
Minister	0	0
of	0	0
Andorra	3	3
# New sentence = Meigs Township , Muskingum County , Ohio	0	
Meigs	5	5
Township	6	6
,	0	0
Muskingum	6	5
County	6	6
,	0	0
Ohio	6	5
# New sentence = Communes of the Côte-d'Or department	0	
Communes	0	0
of	0	0
the	0	0
Côte-d'Or	3	5
department	4	6
# New sentence = He is a brother of the noted pianist Chilly Gonzales .	0	
He	0	0
is	0	0
a	0	0
brother	0	0
of	0	0
the	0	0
noted	0	0
pianist	0	0
Chilly	1	1
Gonzales	2	2
.	0	0
# New sentence = James H. Morrison ( D )	0	
James	1	1
H.	2	2
Morrison	2	2
(	0	0
D	0	3
)	0	0
# New sentence = St Ann 's College	0	
St	5	5
Ann	6	6
's	6	6
College	6	6
# New sentence = Beijing No.8 High School	0	
Beijing	5	5
No.8	6	0
High	6	0
School	6	0
# New sentence = Southampton F.C .	0	
Southampton	3	3
F.C	4	4
.	4	0
# New sentence = He is from Andhra Pradesh in South India .	0	
He	1	0
is	0	0
from	5	0
Andhra	6	5
Pradesh	6	6
in	0	0
South	5	5
India	6	6
.	0	0
# New sentence = '' Kingdom of Scotland '' ' – William the Lion ( 1165–1214 )	0	
''	0	0
Kingdom	5	3
of	6	4
Scotland	6	4
''	0	0
'	0	0
–	0	0
William	1	1
the	2	2
Lion	2	2
(	0	0
1165–1214	0	0
)	0	0
# New sentence = Ka-Zar '' vol .	0	
Ka-Zar	0	1
''	0	0
vol	0	0
.	0	0
# New sentence = Black-bellied plover , ''Pluvialis squatarola ''	0	
Black-bellied	0	0
plover	0	0
,	0	0
''Pluvialis	0	0
squatarola	0	0
''	0	0
# New sentence = Kalbar , Queensland	0	
Kalbar	5	5
,	0	0
Queensland	6	5
# New sentence = ** Circle Jerks – Oddities , Abnormalities and Curiosities ''	0	
**	0	0
Circle	0	0
Jerks	0	0
–	0	0
Oddities	0	0
,	0	0
Abnormalities	0	0
and	0	0
Curiosities	0	0
''	0	0
# New sentence = George Alexander Eugene Douglas Haig , 2nd Earl Haig ( 1918–2009 )	0	
George	1	1
Alexander	2	2
Eugene	2	2
Douglas	2	2
Haig	2	2
,	2	2
2nd	2	2
Earl	2	2
Haig	2	2
(	0	0
1918–2009	0	0
)	0	0
# New sentence = *9378 - Apamea burgessi ''	0	
*9378	0	0
-	0	0
Apamea	0	0
burgessi	0	0
''	0	0
# New sentence = It has also been introduced to Australia , Madeira , the Galápagos Islands and the Philippines .	0	
It	0	0
has	0	0
also	0	0
been	0	0
introduced	0	0
to	0	0
Australia	5	5
,	0	0
Madeira	5	5
,	0	0
the	5	0
Galápagos	6	5
Islands	6	6
and	0	0
the	0	0
Philippines	5	5
.	0	0
# New sentence = Doug McClure , Keith Barron	0	
Doug	1	1
McClure	2	2
,	0	0
Keith	1	1
Barron	2	2
# New sentence = Festhalle Frankfurt , Frankfurt , Hesse	0	
Festhalle	5	5
Frankfurt	6	6
,	6	0
Frankfurt	6	5
,	6	0
Hesse	6	5
# New sentence = He was Mayor of Exeter July 1414 to October 1415 .	0	
He	0	0
was	0	0
Mayor	0	0
of	0	0
Exeter	3	3
July	0	0
1414	0	0
to	0	0
October	0	0
1415	0	0
.	0	0
# New sentence = ' '' Venue : ' '' Daegu Civic Stadium , Daegu	0	
'	0	0
''	0	0
Venue	0	0
:	0	0
'	0	0
''	0	0
Daegu	5	5
Civic	6	6
Stadium	6	6
,	6	0
Daegu	6	5
# New sentence = ''65 Damien Woody G ( IR ) 7px	0	
''65	0	0
Damien	1	1
Woody	2	2
G	0	0
(	0	0
IR	0	0
)	0	0
7px	0	0
# New sentence = Mystery Science Theater 3000 ''	0	
Mystery	0	0
Science	0	0
Theater	0	0
3000	0	0
''	0	0
# New sentence = North Woodbridge , California	0	
North	5	5
Woodbridge	6	6
,	6	0
California	6	5
# New sentence = Volcanoes National Park , Rwanda	0	
Volcanoes	5	5
National	6	6
Park	6	6
,	6	0
Rwanda	6	5
# New sentence = Mia Wasikowska as Alice Kingsleigh .	0	
Mia	1	1
Wasikowska	2	2
as	0	0
Alice	1	1
Kingsleigh	2	2
.	0	0
# New sentence = Washington Township , Butler County , Iowa	0	
Washington	5	3
Township	6	4
,	6	0
Butler	6	5
County	6	6
,	6	0
Iowa	6	5
# New sentence = ' '' Marcello Trotta ' ''	0	
'	0	0
''	0	0
Marcello	1	1
Trotta	2	2
'	0	0
''	0	0
# New sentence = Wesley Pritchard ( 1996– ) 36	0	
Wesley	1	1
Pritchard	2	2
(	0	0
1996–	0	0
)	0	0
36	0	0
# New sentence = Petersburg , Virginia	0	
Petersburg	5	5
,	6	0
Virginia	6	5
# New sentence = '' Telamoptilia hemistacta '' ( Meyrick , 1918 )	0	
''	0	0
Telamoptilia	0	0
hemistacta	0	0
''	0	0
(	0	0
Meyrick	1	1
,	0	0
1918	0	0
)	0	0
# New sentence = Melaleuca delta '' Craven	0	
Melaleuca	0	0
delta	0	0
''	0	0
Craven	0	1
# New sentence = Serra da Estrela Subregion	0	
Serra	5	5
da	6	6
Estrela	6	6
Subregion	6	6
# New sentence = : Ashleigh Brewer ( 2014– )	0	
:	0	0
Ashleigh	1	1
Brewer	2	2
(	0	0
2014–	0	0
)	0	0
# New sentence = Albert Pujols [2] ( 2006 , 2010 )	0	
Albert	1	1
Pujols	2	2
[2]	0	0
(	0	0
2006	0	0
,	0	0
2010	0	0
)	0	0
# New sentence = Brian Dillons GAA	0	
Brian	1	1
Dillons	2	2
GAA	2	0
# New sentence = '' Samurai 7 ''	0	
''	0	0
Samurai	1	0
7	2	0
''	0	0
# New sentence = ' '' 20px 99 Villeray '' '	0	
'	0	0
''	0	0
20px	0	0
99	0	0
Villeray	0	0
''	0	0
'	0	0
# New sentence = Their debut single , `` Overjoyed '' was subsequently released in April 2012 .	0	
Their	0	0
debut	0	0
single	0	0
,	0	0
``	0	0
Overjoyed	0	0
''	0	0
was	0	0
subsequently	0	0
released	0	0
in	0	0
April	0	0
2012	0	0
.	0	0
# New sentence = 929th Troop Carrier Group : 11 February 1963 – 1 January 1964	0	
929th	3	3
Troop	4	4
Carrier	4	4
Group	4	4
:	0	0
11	0	0
February	0	0
1963	0	0
–	0	0
1	0	0
January	0	0
1964	0	0
# New sentence = Ethnic stereotypes in comics	0	
Ethnic	0	0
stereotypes	0	0
in	0	0
comics	0	0
# New sentence = `` I 'm Not in Love '' by 10cc ( The Original Soundtrack '' , 1975 )	0	
``	0	0
I	0	0
'm	0	0
Not	0	0
in	0	0
Love	0	0
''	0	0
by	0	0
10cc	3	3
(	0	0
The	0	0
Original	0	0
Soundtrack	0	0
''	0	0
,	0	0
1975	0	0
)	0	0
# New sentence = '' Papilio alexanor '' Esper , 1800	0	
''	0	0
Papilio	0	0
alexanor	0	0
''	0	0
Esper	0	1
,	0	0
1800	0	0
# New sentence = John Isner 7–6 ( 4 ) , 5–7 ( 5 ) , 7–5 , 6–4	0	
John	1	1
Isner	2	2
7–6	0	0
(	0	0
4	0	0
)	0	0
,	0	0
5–7	0	0
(	0	0
5	0	0
)	0	0
,	0	0
7–5	0	0
,	0	0
6–4	0	0
# New sentence = Metadata Object Description Schema	0	
Metadata	0	0
Object	0	0
Description	0	0
Schema	0	0
# New sentence = Maria Adams ( disambiguation )	0	
Maria	1	1
Adams	2	2
(	0	0
disambiguation	0	0
)	0	0
# New sentence = '' Col des Ares ''	0	
''	0	0
Col	5	5
des	6	6
Ares	6	6
''	0	0
# New sentence = Sili?tea River ( ?ibrin )	0	
Sili?tea	5	5
River	6	6
(	0	0
?ibrin	0	5
)	0	0
# New sentence = *Written by Val Guest and Leslie Thomas	0	
*Written	0	0
by	0	0
Val	1	1
Guest	2	2
and	0	0
Leslie	1	1
Thomas	2	2
# New sentence = Billy Vessels ( RB ) :	0	
Billy	1	1
Vessels	2	2
(	0	0
RB	0	0
)	0	0
:	0	0
# New sentence = May 10 – Shel Silverstein , 68 , children 's poet	0	
May	0	0
10	0	0
–	0	0
Shel	1	1
Silverstein	2	2
,	0	0
68	0	0
,	0	0
children	0	0
's	0	0
poet	0	0
# New sentence = `` Stupid Shit '' – Girlicious	0	
``	0	0
Stupid	0	0
Shit	0	0
''	0	0
–	0	0
Girlicious	0	3
# New sentence = Château de Ferrières - Ferrières-en-Brie , Seine-Maritime	0	
Château	5	5
de	6	6
Ferrières	6	6
-	6	0
Ferrières-en-Brie	6	5
,	6	0
Seine-Maritime	6	5
# New sentence = Holy Trinity Church , Blythburgh	0	
Holy	5	5
Trinity	6	6
Church	6	6
,	6	0
Blythburgh	6	5
# New sentence = Jesús Rubio Martín	0	
Jesús	1	1
Rubio	2	2
Martín	2	2
