tokens;labels
# New sentence = R.H. Saunders ( St. Lawrence River ) ( 968 MW );0
R.H.;0
Saunders;0
(;0
St.;0
Lawrence;0
River;0
);0
(;0
968;0
MW;0
);0
# New sentence = 102.7 MHz Triple J – ABC;0
102.7;0
MHz;0
Triple;0
J;0
–;0
ABC;0
# New sentence = Civic Freedom Party;0
Civic;0
Freedom;0
Party;0
# New sentence = Gian Girolamo Albani;0
Gian;0
Girolamo;0
Albani;0
# New sentence = North Fanling New Town ( Extension of Fanling-Sheung Shui New Town );0
North;0
Fanling;0
New;0
Town;0
(;0
Extension;0
of;0
Fanling-Sheung;0
Shui;0
New;0
Town;0
);0
# New sentence = List of Flywheel , Shyster , and Flywheel ( 1990 radio series ) episodes;0
List;0
of;0
Flywheel;0
,;0
Shyster;0
,;0
and;0
Flywheel;0
(;0
1990;0
radio;0
series;0
);0
episodes;0
# New sentence = Robert Maxwell , 5th Lord Maxwell ( 1493–1546 );0
Robert;0
Maxwell;0
,;0
5th;0
Lord;0
Maxwell;0
(;0
1493–1546;0
);0
# New sentence = '' Invisible Touch '' – Genesis;0
'';0
Invisible;0
Touch;0
'';0
–;0
Genesis;0
# New sentence = It was created on 28 January 1831 for Standish O'Grady , Attorney-General for Ireland and Lord Chief Baron of the Exchequer for Ireland .;0
It;0
was;0
created;0
on;0
28;0
January;0
1831;0
for;0
Standish;0
O'Grady;0
,;0
Attorney-General;0
for;0
Ireland;0
and;0
Lord;0
Chief;0
Baron;0
of;0
the;0
Exchequer;0
for;0
Ireland;0
.;0
# New sentence = '' Super World of Sports '' ';0
'';0
Super;0
World;0
of;0
Sports;0
'';0
';0
# New sentence = List of years in Brazil;0
List;0
of;0
years;0
in;0
Brazil;0
# New sentence = Lăpugiu de Jos;0
Lăpugiu;0
de;0
Jos;0
# New sentence = Christmas Island , on 8 November 1957 , 28 April , 22 August , 2 September , 11 September , or 23 September 1958;0
Christmas;0
Island;0
,;0
on;0
8;0
November;0
1957;0
,;0
28;0
April;0
,;0
22;0
August;0
,;0
2;0
September;0
,;0
11;0
September;0
,;0
or;0
23;0
September;0
1958;0
# New sentence = Poland in the Eurovision Song Contest;0
Poland;0
in;0
the;0
Eurovision;0
Song;0
Contest;0
# New sentence = Borg El Arab Stadium , Alexandria , Egypt;0
Borg;0
El;0
Arab;0
Stadium;0
,;0
Alexandria;0
,;0
Egypt;0
# New sentence = It is on the Campaign for Real Ale 's National Inventory of Historic Pub Interiors .;0
It;0
is;0
on;0
the;0
Campaign;0
for;0
Real;0
Ale;0
's;0
National;0
Inventory;0
of;0
Historic;0
Pub;0
Interiors;0
.;0
# New sentence = Miranda Martino as the Singer;0
Miranda;0
Martino;0
as;0
the;0
Singer;0
# New sentence = '' Tsardom of Russia '' ' – Feodor III ( 1676–1682 );0
'';0
Tsardom;0
of;0
Russia;0
'';0
';0
–;0
Feodor;0
III;0
(;0
1676–1682;0
);0
# New sentence = Lawrence of Rome;0
Lawrence;0
of;0
Rome;0
# New sentence = K. S. Rangasamy College of Technology;0
K.;0
S.;0
Rangasamy;0
College;0
of;0
Technology;0
# New sentence = He was born in Clipston , Northamptonshire and died at Isleworth , Middlesex .;0
He;0
was;0
born;0
in;0
Clipston;0
,;0
Northamptonshire;0
and;0
died;0
at;0
Isleworth;0
,;0
Middlesex;0
.;0
# New sentence = Central , Tennessee ( CDP );0
Central;0
,;0
Tennessee;0
(;0
CDP;0
);0
# New sentence = ''Hypnotize '' opened at 1 on the ''Billboard '' 200 with 320,000 copies the first week .;0
''Hypnotize;0
'';0
opened;0
at;0
1;0
on;0
the;0
''Billboard;0
'';0
200;0
with;0
320,000;0
copies;0
the;0
first;0
week;0
.;0
# New sentence = List of national libraries;0
List;0
of;0
national;0
libraries;0
# New sentence = William Morrow and Company;0
William;0
Morrow;0
and;0
Company;0
# New sentence = Edwin S. Johnson ( D );0
Edwin;0
S.;0
Johnson;0
(;0
D;0
);0
# New sentence = Bahawalpur Zoo , Bahawalpur , Punjab;0
Bahawalpur;0
Zoo;0
