tokens;m_labels;o_labels
# New sentence = ** Vietnam during the Second World War;0;
**;0;0
Vietnam;5;5
during;0;0
the;0;0
Second;0;0
World;0;0
War;0;0
# New sentence = `` Beauty and a Beat '' ( JD4 );0;
``;0;0
Beauty;0;0
and;0;0
a;0;0
Beat;0;0
'';0;0
(;0;0
JD4;0;0
);0;0
# New sentence = F.C. Kibi International University Charme;0;
F.C.;3;3
Kibi;4;4
International;4;4
University;4;4
Charme;4;4
# New sentence = Shearon Harris Nuclear Power Plant in New Hill;0;
Shearon;3;5
Harris;4;6
Nuclear;4;6
Power;4;6
Plant;4;6
in;0;6
New;5;6
Hill;6;6
# New sentence = ' '' Tim Worrell '' ' ( 2–2 );0;
';0;0
'';0;0
Tim;1;1
Worrell;2;2
'';0;0
';0;0
(;0;0
2–2;0;0
);0;0
# New sentence = National Register of Historic Places listings in Southampton County , Virginia;0;
National;3;0
Register;4;0
of;4;0
Historic;4;0
Places;4;0
listings;0;0
in;0;0
Southampton;5;5
County;6;6
,;0;6
Virginia;5;6
# New sentence = She retired at age 41 to Mackinac Island .;0;
She;0;0
retired;0;0
at;0;0
age;0;0
41;0;0
to;0;0
Mackinac;5;5
Island;6;6
.;0;0
# New sentence = Fort Dodge ( United States Army Post );0;
Fort;5;5
Dodge;6;6
(;0;0
United;3;0
States;4;0
Army;4;0
Post;4;0
);0;0
# New sentence = Anders Oechsler ( REtires );0;
Anders;1;1
Oechsler;2;2
(;0;0
REtires;0;0
);0;0
# New sentence = Santa Fe Depot ( San Diego );0;
Santa;3;5
Fe;4;6
Depot;4;6
(;0;6
San;5;6
Diego;6;6
);0;6
# New sentence = Pierson , Illinois;0;
Pierson;5;5
,;0;6
Illinois;5;6
# New sentence = ''WEC 21 '' 's main event was a fight between Rob McCullough and Ryan Healy .;;
''WEC;3;0
21;4;0
'';0;0
's;0;0
main;0;0
event;0;0
was;0;0
a;0;0
fight;0;0
between;0;0
Rob;1;1
McCullough;2;2
and;0;0
Ryan;1;1
Healy;2;2
.;0;0
# New sentence = Ripley , Mississippi;0;
Ripley;5;5
,;0;6
Mississippi;5;6
# New sentence = Its last assignment was with the 1st Missile Division , based at Redstone Arsenal .;0;
Its;0;0
last;0;0
assignment;0;0
was;0;0
with;0;0
the;0;0
1st;3;0
Missile;4;0
Division;4;0
,;0;0
based;0;0
at;0;0
Redstone;5;5
Arsenal;6;6
.;0;0
# New sentence = Adel Taarabt – Tottenham Hotspur , Queens Park Rangers , Fulham – 2006–09 , 2011–15;0;
Adel;1;1
Taarabt;2;2
–;0;0
Tottenham;3;3
Hotspur;4;4
,;0;0
Queens;3;3
Park;4;4
Rangers;4;4
,;0;0
Fulham;3;3
–;0;0
2006–09;0;0
,;0;0
2011–15;0;0
# New sentence = De Witte Holevoet , Scherpenzeel .;0;
De;3;5
Witte;4;6
Holevoet;4;6
,;0;6
Scherpenzeel;5;6
.;0;0
# New sentence = Thady Wyndham-Quin , 7th Earl of Dunraven and Mount-Earl;0;
Thady;1;1
Wyndham-Quin;2;2
,;0;0
7th;2;0
Earl;2;0
of;2;0
Dunraven;2;0
and;2;0
Mount-Earl;2;0
# New sentence = It was ultimately acquired by ConAgra Foods .;0;
It;0;0
was;0;0
ultimately;0;0
acquired;0;0
by;0;0
ConAgra;3;3
Foods;4;4
.;0;0
# New sentence = Islamic State of Iraq;0;
Islamic;3;3
State;4;4
of;4;4
Iraq;4;4
# New sentence = The Hourly Radio;0;
The;3;0
Hourly;4;0
Radio;4;0
# New sentence = Mount Olive , Virginia;0;
Mount;5;5
Olive;6;6
,;0;6
Virginia;5;6
# New sentence = T-ran currently operates and resides in Nashville , Tennessee .;0;
T-ran;1;1
currently;0;0
operates;0;0
and;0;0
resides;0;0
in;0;0
Nashville;5;5
,;0;6
Tennessee;5;6
.;0;0
# New sentence = Marcello Mastroianni , Virna Lisi;0;
Marcello;1;1
Mastroianni;2;2
,;0;0
Virna;1;1
Lisi;2;2
# New sentence = Kalyan Kumar , B. Sarojadevi , Ambarish , Jayamalini;0;
Kalyan;1;1
Kumar;2;2
,;0;0
B.;1;1
Sarojadevi;2;2
,;0;0
Ambarish;1;1
,;0;0
Jayamalini;1;1
# New sentence = Lunenburg , Vermont;0;
Lunenburg;1;5
,;0;6
Vermont;1;6
# New sentence = Christina of Norway;0;
Christina;1;1
of;0;2
Norway;0;2
# New sentence = American Association : Lincoln Saltdogs;0;
American;3;0
Association;4;0
:;0;0
Lincoln;3;3
Saltdogs;4;4
# New sentence = He performed in the companies of Rosalind Newman and Matthew Diamond , and began working as a choreographer in 1982 .;0;
He;0;0
performed;0;0
in;0;0
the;0;0
companies;0;0
of;0;0
Rosalind;1;1
Newman;2;2
and;0;0
Matthew;1;1
Diamond;2;2
,;0;0
and;0;0
began;0;0
working;0;0
as;0;0
a;0;0
choreographer;0;0
in;0;0
1982;0;0
.;0;0
# New sentence = 2005 - Telemanías - Teleocho - Córdoba , Argentina;0;
2005;0;0
-;0;0
Telemanías;0;0
-;0;0
Teleocho;0;0
-;0;0
Córdoba;0;5
,;0;6
Argentina;5;6
# New sentence = California State Polytechnic University , Pomona;0;
California;3;5
State;4;6
Polytechnic;4;6
University;4;6
,;0;6
Pomona;4;6
# New sentence = Heathmont railway station;0;
Heathmont;5;5
railway;6;6
station;6;6
# New sentence = Humcha , Karnataka 1947;0;
Humcha;5;5
,;0;6
Karnataka;5;6
1947;0;0
# New sentence = Franz Klammer ( 3 );0;
Franz;1;1
Klammer;2;2
(;0;0
3;0;0
);0;0
# New sentence = *2 May 1829 : George Bankes;0;
*2;0;0
May;0;0
1829;0;0
:;0;0
George;1;1
Bankes;2;2
# New sentence = ' '' Simon Delaney '' ';0;
';0;0
'';0;0
Simon;1;1
Delaney;2;2
'';0;0
';0;0
# New sentence = 1971 Montreal Expos season;0;
1971;0;0
Montreal;3;3
Expos;4;4
season;0;0
# New sentence = Mike O'Brien ( Michigan politician );0;
Mike;1;1
O'Brien;2;2
(;0;0
Michigan;0;5
politician;0;0
);0;0
# New sentence = It was released on June 25 , 2013 under Epitaph Records .;0;
It;0;0
was;0;0
released;0;0
on;0;0
